Level	L-AC	L-AC(N)	L-AC(H)	L-TH	L-TH(N)	L-TH(H)	L-HP	L-HP(N)	L-HP(H)	L-DM	L-DM(N)	L-DM(H)	L-XP	L-XP(N)	L-XP(H)
0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
1	0	0	0	8	108	216	7	107	1107	2	3	4	30	78	117
2	0	0	0	12	126	254	9	113	1136	3	4	6	40	104	156
3	0	0	0	18	144	292	12	120	1167	3	4	6	50	131	197
4	0	0	0	26	162	330	15	125	1196	4	5	7	60	156	234
5	0	0	0	35	180	368	17	132	1227	4	5	7	70	182	273
6	0	0	0	45	198	406	20	139	1256	5	7	9	80	207	311
7	0	0	0	56	216	444	23	145	1287	5	7	9	90	234	351
8	0	0	0	67	234	482	27	152	1316	6	8	11	100	260	390
9	0	0	0	78	252	520	31	157	1347	7	9	13	110	285	428
10	0	0	0	89	270	558	35	164	1376	7	9	13	120	312	468
11	0	0	0	100	288	596	36	171	1407	8	11	15	130	338	507
12	0	0	0	111	306	634	40	177	1436	8	11	15	140	363	545
13	0	0	0	122	324	672	44	184	1467	9	12	17	154	401	602
14	0	0	0	133	342	710	48	189	1496	10	13	19	169	440	660
15	0	0	0	144	360	748	52	196	1527	10	13	19	186	482	723
16	0	0	0	155	378	786	56	203	1556	11	15	20	205	533	800
17	0	0	0	166	396	824	60	209	1587	11	15	20	225	584	876
18	0	0	0	177	414	862	64	216	1616	12	16	22	248	644	966
19	0	0	0	188	432	900	68	221	1647	13	17	24	273	708	1062
20	0	0	0	199	450	938	73	228	1676	13	17	24	300	779	1169
21	0	0	0	210	468	976	78	236	1707	14	19	26	330	857	1286
22	0	0	0	221	486	1014	84	243	1736	14	19	26	363	942	1413
23	0	0	0	232	504	1052	89	248	1767	15	20	28	399	1035	1553
24	0	0	0	243	522	1090	94	255	1796	16	21	30	439	1139	1709
25	0	0	0	254	540	1128	100	261	1827	16	21	30	470	1220	1830
26	0	0	0	265	558	1166	106	268	1856	17	23	31	503	1305	1958
27	0	0	0	276	576	1204	113	275	1887	17	23	31	538	1397	2096
28	0	0	0	287	594	1242	120	280	1916	18	24	33	576	1494	2241
29	0	0	0	298	612	1280	126	287	1947	19	25	35	616	1598	2397
30	0	0	0	309	630	1318	134	320	1976	19	25	35	659	1709	2564
31	0	0	0	320	648	1356	142	355	2007	20	27	37	706	1832	2748
32	0	0	0	331	666	1394	150	388	2036	20	27	37	755	1958	2937
33	0	0	0	342	684	1432	158	423	2067	21	28	39	808	2097	3146
34	0	0	0	353	702	1470	166	456	2096	22	29	41	864	2241	3362
35	0	0	0	364	720	1508	174	491	2127	22	29	41	925	2399	3599
36	0	0	0	375	738	1546	182	525	2156	23	31	43	990	2568	3852
37	0	0	0	386	756	1584	190	559	2187	23	31	43	1059	2745	4118
38	0	0	0	397	774	1622	198	593	2216	24	32	44	1133	2939	4409
39	0	0	0	408	792	1660	206	627	2247	25	33	46	1212	3144	4716
40	0	0	0	419	810	1698	215	661	2276	25	33	46	1297	3365	5048
41	0	0	0	430	828	1736	225	696	2307	26	35	48	1388	3600	5400
42	0	0	0	441	846	1774	234	729	2336	26	35	48	1485	3852	5778
43	0	0	0	452	864	1812	243	764	2367	27	36	50	1589	4121	6182
44	0	0	0	463	882	1850	253	797	2396	28	37	52	1693	4409	6614
45	0	0	0	474	900	1888	262	832	2427	28	37	52	1797	4718	7077
46	0	0	0	485	918	1926	271	867	2456	29	39	54	1901	5051	7577
47	0	0	0	496	936	1964	281	900	2487	29	39	54	2005	5402	8103
48	0	0	0	507	954	2002	290	935	2516	30	40	56	2109	5783	8675
49	0	0	0	518	972	2040	299	968	2547	31	41	57	2213	6186	9279
50	0	0	0	529	990	2078	310	1003	2576	31	41	57	2317	6618	9927
51	0	0	0	540	1008	2116	321	1037	2607	32	43	59	2421	7080	10620
52	0	0	0	551	1026	2154	331	1071	2636	32	43	59	2525	7506	11259
53	0	0	0	562	1044	2192	342	1105	2667	33	44	61	2629	7956	11934
54	0	0	0	573	1062	2230	352	1139	2707	34	45	63	2733	8435	12653
55	0	0	0	584	1080	2268	363	1173	2767	34	45	63	2837	8942	13413
56	0	0	0	595	1098	2306	374	1208	2847	35	47	65	2941	9477	14216
57	0	0	0	606	1116	2344	384	1241	2962	35	47	65	3045	10044	15066
58	0	0	0	617	1134	2382	395	1276	3077	36	48	67	3149	10647	15971
59	0	0	0	628	1152	2420	406	1309	3192	37	49	68	3253	11286	16929
60	0	0	0	639	1170	2458	418	1344	3307	37	49	68	3357	11964	17946
61	0	0	0	650	1188	2496	430	1379	3422	38	51	70	3461	12680	19020
62	0	0	0	661	1206	2534	442	1412	3537	38	51	70	3565	13442	20163
63	0	0	0	672	1224	2572	454	1447	3652	39	52	72	3669	14249	21374
64	0	0	0	683	1242	2610	466	1480	3767	39	52	72	3773	15104	22656
65	0	0	0	694	1260	2648	477	1515	3882	40	53	74	3877	16010	24015
66	0	0	0	705	1278	2686	489	1549	3997	41	55	76	3981	16916	25374
67	0	0	0	716	1296	2724	501	1583	4112	41	55	76	4085	17822	26733
68	0	0	0	727	1314	2762	513	1617	4227	42	56	78	4189	18728	28092
