npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	1024	1	1	4	1024	1	1									5000	30000	35000
charsi	1024	1	1	4	1024	1	1									5000	30000	35000
akara	1024	1	1	4	1024	1	1									5000	30000	35000
lysander	1024	1	1	9	1024	1	1									10000	30000	35000
drognan	1024	1	1	9	1024	1	1									10000	30000	35000
elzix	1024	1	1	9	1024	1	1									10000	30000	35000
fara	1024	1	1	9	1024	1	1									10000	30000	35000
hratli	1024	1	1	17	1024	1	1									15000	30000	35000
alkor	1024	1	1	17	1024	1	1									15000	30000	35000
ormus	1024	1	1	17	1024	1	1									15000	30000	35000
asheara	1024	1	1	17	1024	1	1									15000	30000	35000
jamella	1024	1	1	41	1024	1	1									20000	30000	35000
halbu	1024	1	1	41	1024	1	1									20000	30000	35000
malah	1024	1	1	41	1024	1	1	35	1024	1	1					25000	30000	35000
drehya	1024	1	1	41	1024	1	1	35	1024	1	1					25000	30000	35000
larzuk	1024	1	1	41	1024	1	1	35	1024	1	1					25000	30000	35000
nihlathak	1024	1	1	41	1024	1	1	35	1024	1	1					25000	30000	35000
